projectName,address,unitSold,area,typeOfArea,transactedPrice,unitPricePSM,unitPricePSF,saleDate,propertyType,tenure,completionDate,typeOfSale,purchaserAddressIndicator,postalDistrict,postalSector,postalCode,planningRegion,planningArea
MARINA BAY SUITES,3 Central Boulevard  #62-01 ,1,250,Strata,7320000,29280,2720,22-Jan-14,Condominium,99 Yrs From 08/03/2007,2013,New Sale,Private,1,1,18965,Central Region,Downtown Core
MARINA BAY SUITES,3 Central Boulevard  #63-01 ,1,250,Strata,7500000,30000,2787,28-Mar-14,Condominium,99 Yrs From 08/03/2007,19/6/2013,New Sale,Private,1,1,18965,Central Region,Downtown Core
MARINA BAY SUITES,3 Central Boulevard  #61-01 ,1,250,Strata,7263000,29052,2699,27-Oct-14,Condominium,99 Yrs From 08/03/2007,2013,Resale,Private,1,1,18965,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #30-13 ,1,71,Strata,1812570,25529,2372,21-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #06-04 ,1,69,Strata,1543500,22370,2078,21-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #11-03 ,1,71,Strata,1632600,22994,2136,23-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #16-10 ,1,66,Strata,1613700,24450,2271,23-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #16-12 ,1,67,Strata,1569051,23419,2176,23-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #18-07 ,1,141,Strata,3793500,26904,2499,23-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #14-03 ,1,69,Strata,1715700,24865,2310,24-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
