projectName,address,unitSold,area,typeOfArea,transactedPrice,unitPricePSM,unitPricePSF,saleDate,propertyType,tenure,completionDate,typeOfSale,purchaserAddressIndicator,postalDistrict,postalSector,postalCode,planningRegion,planningArea
MARINA ONE RESIDENCES,21 Marina Way  #20-10 ,1,67,Strata,1648800,24609,2286,24-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #08-17 ,1,104,Strata,2376000,22846,2122,27-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #19-03 ,1,64,Strata,1592100,24877,2311,27-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #32-12 ,1,69,Strata,1695600,24574,2283,27-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #25-10 ,1,65,Strata,1653300,25435,2363,27-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #12-06 ,1,104,Strata,2334300,22445,2085,27-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #21-03 ,1,65,Strata,1615500,24854,2309,27-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #14-16 ,1,104,Strata,2429100,23357,2170,28-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #22-12 ,1,66,Strata,1604700,24314,2259,28-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #28-13 ,1,69,Strata,1776300,25743,2392,28-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #26-12 ,1,64,Strata,1656330,25880,2404,28-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #30-05 ,1,66,Strata,1619100,24532,2279,28-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #15-16 ,1,104,Strata,2503800,24075,2237,29-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #14-17 ,1,104,Strata,2510070,24135,2242,29-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #20-03 ,1,65,Strata,1610100,24771,2301,29-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #22-17 ,1,104,Strata,2683050,25799,2397,29-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #30-04 ,1,72,Strata,1825590,25355,2356,29-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #10-16 ,1,103,Strata,2358477,22898,2127,30-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #18-09 ,1,65,Strata,1540800,23705,2202,30-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #22-10 ,1,66,Strata,1647900,24968,2320,30-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #11-16 ,1,103,Strata,2366496,22976,2134,30-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #17-17 ,1,103,Strata,2518200,24449,2271,30-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #20-13 ,1,71,Strata,1697400,23907,2221,30-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #08-16 ,1,103,Strata,2340657,22725,2111,30-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #12-16 ,1,104,Strata,2411100,23184,2154,31-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #25-12 ,1,64,Strata,1597500,24961,2319,31-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #26-04 ,1,71,Strata,1789320,25202,2341,31-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #24-11 ,1,62,Strata,1566900,25273,2348,31-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #22-05 ,1,66,Strata,1574100,23850,2216,31-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #26-14 ,1,94,Strata,2197800,23381,2172,31-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #12-14 ,1,92,Strata,2061000,22402,2081,31-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #29-03 ,1,71,Strata,1733400,24414,2268,31-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #11-14 ,1,91,Strata,2042100,22441,2085,31-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #10-09 ,1,65,Strata,1496700,23026,2139,31-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #24-13 ,1,68,Strata,1740030,25589,2377,31-Oct-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #23-14 ,1,95,Strata,2184300,22993,2136,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #19-13 ,1,72,Strata,1703700,23663,2198,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #30-16 ,1,103,Strata,2822400,27402,2546,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #27-14 ,1,94,Strata,2279430,24249,2253,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #14-09 ,1,63,Strata,1494900,23729,2204,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #30-11 ,1,64,Strata,1678650,26229,2437,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #23-13 ,1,69,Strata,1690200,24496,2276,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #25-17 ,1,103,Strata,2624400,25480,2367,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #26-03 ,1,71,Strata,1717200,24186,2247,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #27-05 ,1,66,Strata,1602000,24273,2255,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #29-05 ,1,66,Strata,1666560,25251,2346,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #18-03 ,1,64,Strata,1570833,24544,2280,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #19-06 ,1,104,Strata,2484960,23894,2220,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #27-13 ,1,68,Strata,1757700,25849,2401,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #05-11 ,1,64,Strata,1449657,22651,2104,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #05-12 ,1,63,Strata,1461240,23194,2155,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #15-14 ,1,96,Strata,2108997,21969,2041,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #16-14 ,1,97,Strata,2127708,21935,2038,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #08-09 ,1,65,Strata,1470150,22618,2101,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #23-04 ,1,68,Strata,1733520,25493,2368,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #15-17 ,1,104,Strata,2503800,24075,2237,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #13-13 ,1,67,Strata,1592217,23764,2208,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #24-16 ,1,103,Strata,2610900,25349,2355,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #31-14 ,1,97,Strata,2271600,23419,2176,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #26-05 ,1,66,Strata,1596600,24191,2247,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #18-14 ,1,99,Strata,2187900,22100,2053,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #20-15 ,1,142,Strata,3855600,27152,2522,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #07-11 ,1,64,Strata,1460349,22818,2120,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #19-16 ,1,103,Strata,2519748,24464,2273,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #06-11 ,1,64,Strata,1455003,22734,2112,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #24-04 ,1,70,Strata,1765140,25216,2343,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #25-14 ,1,94,Strata,2189700,23295,2164,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #10-10 ,1,64,Strata,1539648,24057,2235,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #21-06 ,1,104,Strata,2565950,24673,2292,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #05-09 ,1,65,Strata,1378377,21206,1970,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #17-03 ,1,65,Strata,1593000,24508,2277,3-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #27-17 ,1,104,Strata,2874630,27641,2568,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #22-04 ,1,67,Strata,1715850,25610,2379,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #11-06 ,1,104,Strata,2325930,22365,2078,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #31-09 ,1,64,Strata,1600200,25003,2323,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #28-04 ,1,72,Strata,1813500,25188,2340,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #25-04 ,1,71,Strata,1783740,25123,2334,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #27-16 ,1,104,Strata,2874630,27641,2568,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #12-13 ,1,66,Strata,1575288,23868,2217,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #21-04 ,1,66,Strata,1733750,26269,2440,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #11-13 ,1,65,Strata,1557468,23961,2226,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #23-05 ,1,66,Strata,1580400,23945,2225,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #17-10 ,1,67,Strata,1631700,24354,2263,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #09-11 ,1,61,Strata,1459458,23926,2223,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #09-09 ,1,65,Strata,1476387,22714,2110,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #27-12 ,1,64,Strata,1661910,25967,2412,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #28-12 ,1,65,Strata,1625400,25006,2323,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #24-14 ,1,94,Strata,2253390,23972,2227,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #29-12 ,1,66,Strata,1643400,24900,2313,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #25-13 ,1,67,Strata,1677600,25039,2326,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #18-11 ,1,65,Strata,1571400,24175,2246,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #08-01 ,1,104,Strata,2359800,22690,2108,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #17-04 ,1,66,Strata,1619100,24532,2279,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #19-04 ,1,65,Strata,1618200,24895,2313,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #05-05 ,1,65,Strata,1378377,21206,1970,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #31-03 ,1,70,Strata,1790250,25575,2376,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #32-03 ,1,69,Strata,1783740,25851,2402,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #29-17 ,1,103,Strata,2805300,27236,2530,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #09-04 ,1,71,Strata,1688880,23787,2210,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #25-05 ,1,66,Strata,1591200,24109,2240,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #16-09 ,1,64,Strata,1502226,23472,2181,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #30-17 ,1,103,Strata,2822400,27402,2546,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #28-05 ,1,66,Strata,1607400,24355,2263,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #22-13 ,1,70,Strata,1696500,24236,2252,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #28-03 ,1,71,Strata,1728000,24338,2261,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #17-06 ,1,104,Strata,2457990,23635,2196,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #32-05 ,1,66,Strata,1629900,24695,2294,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #23-10 ,1,65,Strata,1641600,25255,2346,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #17-07 ,1,141,Strata,3893910,27616,2566,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #07-10 ,1,68,Strata,1506600,22156,2058,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #15-05 ,1,66,Strata,1536300,23277,2163,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #15-18 ,1,140,Strata,3807420,27196,2527,4-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #12-04 ,1,72,Strata,1664100,23113,2147,5-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,HDB,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #07-05 ,1,66,Strata,1400652,21222,1972,5-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
MARINA ONE RESIDENCES,21 Marina Way  #05-14 ,1,93,Strata,1994949,21451,1993,5-Nov-14,Apartment,99 Yrs From 01/07/2011,Uncompleted,New Sale,Private,1,1,18978,Central Region,Downtown Core
